ID,Link,Left,Through,Right,laneID,length
11768,105109,0,1016382,0,1051092,191.9239013279102
11769,105111,0,1051861,0,1051112,236.00509139000175
11770,105111,0,0,0,1051111,236.26149711236866
11771,105111,0,0,0,1051113,236.51790283637743
11772,105118,0,1051331,0,1051181,150.21457129282518
11773,105118,0,1051332,0,1051182,150.26915084982045
11774,105130,0,1051671,0,1051302,491.21843915142586
11775,105130,1052671,0,0,1051301,493.09295688282975
11776,105130,0,0,0,1051303,494.9674719659849
11777,105115,0,1051031,0,1051151,241.02461376530084
11778,105115,0,1051032,0,1051152,240.7353283395834
11779,105116,0,1051331,0,1051161,524.5228609087671
11780,105116,0,1051332,0,1051162,524.5412727130935
11781,105110,0,1051091,0,1051101,235.49227995060147
11782,105110,0,1051092,0,1051102,235.23587423397413
11783,105186,0,0,1051872,1051862,1114.3579957546156
11784,105186,1015871,1051891,0,1051861,1120.6675993274291
11785,105113,0,0,1051113,1051133,272.52621696605974
11786,105113,0,1051091,0,1051132,272.966849334062
11787,105113,0,0,0,1051131,273.40748225949136
11788,105120,0,1051191,0,1051201,578.4740467838844
11789,105133,0,1051322,1051343,1051332,210.72625542802345
11790,105133,0,1051321,0,1051331,205.43154348140743
11791,105117,0,1051141,0,1051172,203.83055427996698
11792,105117,1016371,0,0,1051171,203.88986154530159
11793,105117,0,0,0,1051173,203.9491688967401
11794,105119,0,1051171,0,1051191,198.67197446678875
11795,105119,0,1051172,0,1051192,198.69460509624824
11796,105121,0,1051131,0,1051211,578.6277843577202
11797,105121,0,1051132,0,1051212,578.7046533138607
11798,105122,0,1051251,0,1051221,77.59797551500478
11799,105122,0,0,0,1051222,77.59797473875787
11800,105123,0,0,0,1051231,77.5979770658923
11801,105125,0,0,0,1051251,63.1139722851873
11802,105124,0,1051231,0,1051241,63.93305842885472
11803,105124,0,0,0,1051242,64.34260150770655
11804,105126,0,0,0,1051261,190.64691940604783
11805,105126,0,0,0,1051262,190.69116208514492
11806,105127,0,0,0,1051271,190.55843405143202
11807,105128,0,1051451,0,1051281,215.93786246330552
11808,105137,0,1051391,0,1051371,208.8675144493489
11809,105137,0,0,0,1051372,207.02424476723658
11810,105143,0,1051381,0,1051431,244.4967521829621
11811,105129,1051431,1051371,0,1051291,210.00541484136124
11812,105129,0,1051372,0,1051292,207.03919101457285
11813,105145,0,1051471,0,1051451,136.98758434041332
11814,105167,0,1051681,0,1051671,752.9297989852041
11815,105167,0,0,0,1051672,748.1949187043291
11816,105267,0,1052691,0,1052672,1729.7104936924845
11817,105267,0,0,0,1052671,1729.2636240562522
11818,105267,0,0,0,1052673,1728.8167549469504
11819,105131,0,1051341,0,1051312,20.779915234099864
11820,105131,0,0,0,1051311,20.77991579688913
11821,105131,0,0,0,1051313,20.779916359004368
11822,105135,0,1051821,0,1051351,1044.8099100861427
11823,105135,0,1051822,0,1051352,1049.9516442642378
11824,105132,0,1051351,0,1051321,20.779914108521112
11825,105132,0,1051352,0,1051322,20.77991354505767
11826,105134,0,0,1050952,1051343,442.2001558312086
11827,105134,0,1050921,0,1051342,441.0017816988524
11828,105134,1050891,0,0,1051341,439.80340690893274
11829,105182,1051811,1051851,0,1051821,572.0615888786648
11830,105182,0,1051852,0,1051822,574.0079396282307
11831,105136,0,1051281,1051431,1051361,212.55405310206203
11832,105139,0,1051441,0,1051391,436.08537306498954
11833,105138,0,1051361,0,1051381,435.86284096456455
11834,105144,0,1051371,1051281,1051441,242.0616419256952
11835,105141,0,1051171,0,1051412,647.2648978041126
11836,105141,0,0,0,1051411,645.1347438172671
11837,105141,0,0,0,1051413,643.0045869078136
11838,105142,0,1051411,0,1051421,156.7184609449842
11839,105148,1051461,1051471,0,1051481,198.63311991248887
11840,105148,0,1051472,0,1051482,196.99978509532005
11841,105146,0,1051291,0,1051461,136.93990272954852
11842,105147,1051831,1051491,0,1051471,476.06300111635903
11843,105147,0,0,0,1051472,470.01102231198513
11844,105149,0,1051821,0,1051491,250.408037654274
11845,105183,0,0,0,1051831,978.378774718458
11846,105150,0,1051481,0,1051502,143.25187934379287
11847,105150,1051421,0,0,1051501,143.47060862150173
11848,105150,0,0,0,1051503,143.6893380926103
11849,105151,0,1051501,0,1051512,29.357884414443394
11850,105151,0,0,0,1051511,29.102821035105364
11851,105151,0,0,0,1051513,28.847757385052162
11852,105152,0,1051501,0,1051521,372.58539838644543
11853,105152,0,1051502,0,1051522,367.94903181306296
11854,105154,0,1051581,0,1051541,212.42241920760466
11855,105153,0,1051511,0,1051531,148.9090091956678
11856,105153,0,1051512,0,1051532,149.89598288117202
11857,105157,0,1051581,0,1051571,249.89862746857784
11858,105158,0,0,1051563,1051583,13.951501819166783
11859,105158,0,1051661,0,1051582,13.951501725434285
11860,105158,0,0,0,1051581,13.951501631701781
11861,105155,1051541,1051521,0,1051551,237.83204568804996
11862,105155,0,1051522,0,1051552,238.64411304325165
11863,105162,0,0,1051593,1051624,453.8640085640375
11864,105162,0,1051611,0,1051622,453.7352229711759
11865,105162,0,1051612,0,1051623,453.6064373812301
11866,105162,0,0,0,1051621,453.47765179198876
11867,105156,0,1051571,0,1051562,29.051156299783507
11868,105156,1051531,0,0,1051561,28.34214962590741
11869,105156,0,0,0,1051563,27.633142192259474
11870,105166,0,1051681,0,1051661,337.75333470787064
11871,105166,0,0,0,1051662,338.59767732089415
11872,105159,0,1051561,0,1051592,20.087569895469493
11873,105159,1051661,0,0,1051591,20.087579775596033
11874,105159,0,0,0,1051593,20.087589656999448
11875,105161,0,1049731,0,1051612,467.3556991239658
11876,105161,0,1049732,0,1051613,468.17337544793617
