LinkID,LaneNum,RoadType,TLinkID,FnJunction,TnJunction,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9,Length
104527,2.0,2.0,0,3636,3629,104132,104133,0,1045271,1045272,0,0,0,0,0,0,0,232.9196334764544
104528,3.0,1.0,0,3636,3654,0,104005,104004,1045281,1045282,1045283,0,0,0,0,0,0,216.52906536689616
104535,2.0,1.0,0,38523,3505,0,104117,0,1045351,1045352,0,0,0,0,0,0,0,51.878519949411
104536,3.0,2.0,0,38523,3599,0,104588,0,1045361,1045362,1045363,0,0,0,0,0,0,155.69310528360302
104578,1.0,9.0,0,3691,3927,104664,104663,0,1045781,0,0,0,0,0,0,0,0,304.62159142375344
104579,2.0,9.0,0,3691,3665,0,104665,104666,1045791,1045792,0,0,0,0,0,0,0,38.517816843982786
104580,2.0,1.0,0,3674,3653,0,104367,0,1045801,1045802,0,0,0,0,0,0,0,168.048671951622
104581,1.0,1.0,0,3674,3928,104481,104480,0,1045811,0,0,0,0,0,0,0,0,461.72236128426596
104588,3.0,2.0,0,3599,38535,0,104589,0,1045881,1045882,1045883,0,0,0,0,0,0,15.663988687260524
104639,2.0,1.0,104538,4191,4214,0,104537,104539,1046391,1046392,0,0,0,0,0,0,0,270.2803917658604
104640,2.0,9.0,0,4191,4132,0,104683,0,1046401,1046402,0,0,0,0,0,0,0,152.73886128158327
104641,3.0,1.0,104684,4191,4185,0,104685,0,1046411,1046412,1046413,0,0,0,0,0,0,9.324971947605489
104642,2.0,1.0,104649,4349,4200,104650,104648,0,1046421,1046422,0,0,0,0,0,0,0,193.7038447643145
104643,3.0,1.0,104547,4349,4351,104546,104548,0,1046431,1046432,1046433,0,0,0,0,0,0,94.29875448863154
104644,3.0,1.0,104539,4349,4214,0,104538,104537,1046441,1046442,1046443,0,0,0,0,0,0,586.4042524541117
104645,2.0,1.0,104541,4121,4238,0,104542,104540,1046451,1046452,0,0,0,0,0,0,0,182.10147661597998
104646,2.0,1.0,104648,4121,4200,0,104649,104650,1046461,1046462,0,0,0,0,0,0,0,62.015975287300684
104647,2.0,1.0,104543,4121,4056,0,104545,104544,1046471,1046472,0,0,0,0,0,0,0,67.77545776250565
104648,2.0,1.0,104646,4200,4121,0,104645,104647,1046481,1046482,0,0,0,0,0,0,0,62.015975287300684
104649,2.0,1.0,104642,4200,4349,0,104643,104644,1046491,1046492,0,0,0,0,0,0,0,193.7038447643145
104650,2.0,1.0,104542,4200,4238,0,104540,104541,1046501,1046502,0,0,0,0,0,0,0,240.16924085164737
105171,2.0,1.0,106125,5627,6323,106126,106124,106127,1051711,1051712,0,0,0,0,0,0,0,698.0019562425515
105172,2.0,1.0,0,5627,5754,0,106128,0,1051721,1051722,0,0,0,0,0,0,0,375.22326012268445
105173,3.0,1.0,0,5742,5779,106129,106130,0,1051731,1051732,1051733,0,0,0,0,0,0,39.08300526020046
105174,2.0,1.0,106131,5742,5765,0,106132,0,1051741,1051742,0,0,0,0,0,0,0,39.80172922396294
105175,3.0,1.0,104550,5742,5543,0,104549,0,1051751,1051752,1051753,0,0,0,0,0,0,251.9478044755634
105176,3.0,1.0,106134,6491,6684,106136,106133,106135,1051761,1051762,1051763,0,0,0,0,0,0,414.66678251448315
105177,3.0,1.0,105967,6491,6329,0,105966,105968,1051771,1051772,1051773,0,0,0,0,0,0,310.2286765007263
105178,4.0,1.0,104552,6491,5771,0,104551,104553,1051781,1051782,1051783,1051784,0,0,0,0,0,635.9109575145372
105179,2.0,1.0,106137,6491,7091,0,106138,106139,1051791,1051792,0,0,0,0,0,0,0,469.52532347657126
