LinkID,LaneNum,TLinkID,FnJunction,TnJunction,SpeedLimit,Left,Through,Right,Lane1,Lane2,Lane3,Lane4,Lane5,Lane6,Lane7,Lane8,Lane9
100267,4,0,714,723,65,100261,100264,0,1002671,1002672,1002673,1002674,0,0,0,0,0
100339,3,0,764,588,35,0,100346,0,1003391,1003392,1003393,0,0,0,0,0,0
100271,3,0,752,769,35,100254,100248,0,1002711,1002712,1002713,0,0,0,0,0,0
100272,3,0,709,752,35,0,100271,0,1002721,1002722,1002723,0,0,0,0,0,0
100273,2,0,709,713,45,0,100280,0,1002731,1002732,0,0,0,0,0,0,0
100280,2,0,713,714,45,0,100267,0,1002801,1002802,0,0,0,0,0,0,0
100274,2,0,704,702,45,0,100416,0,1002741,1002742,0,0,0,0,0,0,0
100278,2,0,704,706,45,0,100276,0,1002781,1002782,0,0,0,0,0,0,0
100416,2,0,702,707,45,0,100451,0,1004161,1004162,0,0,0,0,0,0,0
100275,2,0,717,713,45,0,100280,0,1002751,1002752,0,0,0,0,0,0,0
100277,3,0,717,752,35,0,100271,0,1002771,1002772,1002773,0,0,0,0,0,0
